ground,sintetic,segmentation,bingmap
CVUSA_subset\streetview\0012970.jpg,BLURRED_name_train\0012970_generated.png,TRAIN_SEGMENTED\0012970_generated_segmented.png,CVUSA_subset\bingmap\input0012970.png
CVUSA_subset\streetview\0012973.jpg,BLURRED_name_train\0012973_generated.png,TRAIN_SEGMENTED\0012973_generated_segmented.png,CVUSA_subset\bingmap\input0012973.png
CVUSA_subset\streetview\0012982.jpg,BLURRED_name_train\0012982_generated.png,TRAIN_SEGMENTED\0012982_generated_segmented.png,CVUSA_subset\bingmap\input0012982.png
CVUSA_subset\streetview\0012986.jpg,BLURRED_name_train\0012986_generated.png,TRAIN_SEGMENTED\0012986_generated_segmented.png,CVUSA_subset\bingmap\input0012986.png
CVUSA_subset\streetview\0012994.jpg,BLURRED_name_train\0012994_generated.png,TRAIN_SEGMENTED\0012994_generated_segmented.png,CVUSA_subset\bingmap\input0012994.png
CVUSA_subset\streetview\0013000.jpg,BLURRED_name_train\0013000_generated.png,TRAIN_SEGMENTED\0013000_generated_segmented.png,CVUSA_subset\bingmap\input0013000.png
CVUSA_subset\streetview\0013012.jpg,BLURRED_name_train\0013012_generated.png,TRAIN_SEGMENTED\0013012_generated_segmented.png,CVUSA_subset\bingmap\input0013012.png
CVUSA_subset\streetview\0013018.jpg,BLURRED_name_train\0013018_generated.png,TRAIN_SEGMENTED\0013018_generated_segmented.png,CVUSA_subset\bingmap\input0013018.png
CVUSA_subset\streetview\0013024.jpg,BLURRED_name_train\0013024_generated.png,TRAIN_SEGMENTED\0013024_generated_segmented.png,CVUSA_subset\bingmap\input0013024.png
CVUSA_subset\streetview\0013026.jpg,BLURRED_name_train\0013026_generated.png,TRAIN_SEGMENTED\0013026_generated_segmented.png,CVUSA_subset\bingmap\input0013026.png
CVUSA_subset\streetview\0013032.jpg,BLURRED_name_train\0013032_generated.png,TRAIN_SEGMENTED\0013032_generated_segmented.png,CVUSA_subset\bingmap\input0013032.png
CVUSA_subset\streetview\0013041.jpg,BLURRED_name_train\0013041_generated.png,TRAIN_SEGMENTED\0013041_generated_segmented.png,CVUSA_subset\bingmap\input0013041.png
CVUSA_subset\streetview\0013042.jpg,BLURRED_name_train\0013042_generated.png,TRAIN_SEGMENTED\0013042_generated_segmented.png,CVUSA_subset\bingmap\input0013042.png
CVUSA_subset\streetview\0013044.jpg,BLURRED_name_train\0013044_generated.png,TRAIN_SEGMENTED\0013044_generated_segmented.png,CVUSA_subset\bingmap\input0013044.png
CVUSA_subset\streetview\0013066.jpg,BLURRED_name_train\0013066_generated.png,TRAIN_SEGMENTED\0013066_generated_segmented.png,CVUSA_subset\bingmap\input0013066.png
CVUSA_subset\streetview\0013069.jpg,BLURRED_name_train\0013069_generated.png,TRAIN_SEGMENTED\0013069_generated_segmented.png,CVUSA_subset\bingmap\input0013069.png
CVUSA_subset\streetview\0013074.jpg,BLURRED_name_train\0013074_generated.png,TRAIN_SEGMENTED\0013074_generated_segmented.png,CVUSA_subset\bingmap\input0013074.png
CVUSA_subset\streetview\0013078.jpg,BLURRED_name_train\0013078_generated.png,TRAIN_SEGMENTED\0013078_generated_segmented.png,CVUSA_subset\bingmap\input0013078.png
CVUSA_subset\streetview\0013090.jpg,BLURRED_name_train\0013090_generated.png,TRAIN_SEGMENTED\0013090_generated_segmented.png,CVUSA_subset\bingmap\input0013090.png
CVUSA_subset\streetview\0013093.jpg,BLURRED_name_train\0013093_generated.png,TRAIN_SEGMENTED\0013093_generated_segmented.png,CVUSA_subset\bingmap\input0013093.png
CVUSA_subset\streetview\0013095.jpg,BLURRED_name_train\0013095_generated.png,TRAIN_SEGMENTED\0013095_generated_segmented.png,CVUSA_subset\bingmap\input0013095.png
CVUSA_subset\streetview\0013096.jpg,BLURRED_name_train\0013096_generated.png,TRAIN_SEGMENTED\0013096_generated_segmented.png,CVUSA_subset\bingmap\input0013096.png
CVUSA_subset\streetview\0013102.jpg,BLURRED_name_train\0013102_generated.png,TRAIN_SEGMENTED\0013102_generated_segmented.png,CVUSA_subset\bingmap\input0013102.png
CVUSA_subset\streetview\0013104.jpg,BLURRED_name_train\0013104_generated.png,TRAIN_SEGMENTED\0013104_generated_segmented.png,CVUSA_subset\bingmap\input0013104.png
CVUSA_subset\streetview\0013109.jpg,BLURRED_name_train\0013109_generated.png,TRAIN_SEGMENTED\0013109_generated_segmented.png,CVUSA_subset\bingmap\input0013109.png
CVUSA_subset\streetview\0013112.jpg,BLURRED_name_train\0013112_generated.png,TRAIN_SEGMENTED\0013112_generated_segmented.png,CVUSA_subset\bingmap\input0013112.png
CVUSA_subset\streetview\0013118.jpg,BLURRED_name_train\0013118_generated.png,TRAIN_SEGMENTED\0013118_generated_segmented.png,CVUSA_subset\bingmap\input0013118.png
CVUSA_subset\streetview\0013120.jpg,BLURRED_name_train\0013120_generated.png,TRAIN_SEGMENTED\0013120_generated_segmented.png,CVUSA_subset\bingmap\input0013120.png
CVUSA_subset\streetview\0013122.jpg,BLURRED_name_train\0013122_generated.png,TRAIN_SEGMENTED\0013122_generated_segmented.png,CVUSA_subset\bingmap\input0013122.png
CVUSA_subset\streetview\0013126.jpg,BLURRED_name_train\0013126_generated.png,TRAIN_SEGMENTED\0013126_generated_segmented.png,CVUSA_subset\bingmap\input0013126.png
CVUSA_subset\streetview\0013136.jpg,BLURRED_name_train\0013136_generated.png,TRAIN_SEGMENTED\0013136_generated_segmented.png,CVUSA_subset\bingmap\input0013136.png
CVUSA_subset\streetview\0013138.jpg,BLURRED_name_train\0013138_generated.png,TRAIN_SEGMENTED\0013138_generated_segmented.png,CVUSA_subset\bingmap\input0013138.png
CVUSA_subset\streetview\0013142.jpg,BLURRED_name_train\0013142_generated.png,TRAIN_SEGMENTED\0013142_generated_segmented.png,CVUSA_subset\bingmap\input0013142.png
CVUSA_subset\streetview\0013157.jpg,BLURRED_name_train\0013157_generated.png,TRAIN_SEGMENTED\0013157_generated_segmented.png,CVUSA_subset\bingmap\input0013157.png
CVUSA_subset\streetview\0013161.jpg,BLURRED_name_train\0013161_generated.png,TRAIN_SEGMENTED\0013161_generated_segmented.png,CVUSA_subset\bingmap\input0013161.png
CVUSA_subset\streetview\0013167.jpg,BLURRED_name_train\0013167_generated.png,TRAIN_SEGMENTED\0013167_generated_segmented.png,CVUSA_subset\bingmap\input0013167.png
CVUSA_subset\streetview\0013177.jpg,BLURRED_name_train\0013177_generated.png,TRAIN_SEGMENTED\0013177_generated_segmented.png,CVUSA_subset\bingmap\input0013177.png
CVUSA_subset\streetview\0013186.jpg,BLURRED_name_train\0013186_generated.png,TRAIN_SEGMENTED\0013186_generated_segmented.png,CVUSA_subset\bingmap\input0013186.png
CVUSA_subset\streetview\0013187.jpg,BLURRED_name_train\0013187_generated.png,TRAIN_SEGMENTED\0013187_generated_segmented.png,CVUSA_subset\bingmap\input0013187.png
CVUSA_subset\streetview\0013202.jpg,BLURRED_name_train\0013202_generated.png,TRAIN_SEGMENTED\0013202_generated_segmented.png,CVUSA_subset\bingmap\input0013202.png
CVUSA_subset\streetview\0013209.jpg,BLURRED_name_train\0013209_generated.png,TRAIN_SEGMENTED\0013209_generated_segmented.png,CVUSA_subset\bingmap\input0013209.png
CVUSA_subset\streetview\0013210.jpg,BLURRED_name_train\0013210_generated.png,TRAIN_SEGMENTED\0013210_generated_segmented.png,CVUSA_subset\bingmap\input0013210.png
CVUSA_subset\streetview\0013219.jpg,BLURRED_name_train\0013219_generated.png,TRAIN_SEGMENTED\0013219_generated_segmented.png,CVUSA_subset\bingmap\input0013219.png
CVUSA_subset\streetview\0013241.jpg,BLURRED_name_train\0013241_generated.png,TRAIN_SEGMENTED\0013241_generated_segmented.png,CVUSA_subset\bingmap\input0013241.png
CVUSA_subset\streetview\0013244.jpg,BLURRED_name_train\0013244_generated.png,TRAIN_SEGMENTED\0013244_generated_segmented.png,CVUSA_subset\bingmap\input0013244.png
CVUSA_subset\streetview\0013256.jpg,BLURRED_name_train\0013256_generated.png,TRAIN_SEGMENTED\0013256_generated_segmented.png,CVUSA_subset\bingmap\input0013256.png
CVUSA_subset\streetview\0013261.jpg,BLURRED_name_train\0013261_generated.png,TRAIN_SEGMENTED\0013261_generated_segmented.png,CVUSA_subset\bingmap\input0013261.png
CVUSA_subset\streetview\0013275.jpg,BLURRED_name_train\0013275_generated.png,TRAIN_SEGMENTED\0013275_generated_segmented.png,CVUSA_subset\bingmap\input0013275.png
CVUSA_subset\streetview\0013288.jpg,BLURRED_name_train\0013288_generated.png,TRAIN_SEGMENTED\0013288_generated_segmented.png,CVUSA_subset\bingmap\input0013288.png
CVUSA_subset\streetview\0013289.jpg,BLURRED_name_train\0013289_generated.png,TRAIN_SEGMENTED\0013289_generated_segmented.png,CVUSA_subset\bingmap\input0013289.png
CVUSA_subset\streetview\0013291.jpg,BLURRED_name_train\0013291_generated.png,TRAIN_SEGMENTED\0013291_generated_segmented.png,CVUSA_subset\bingmap\input0013291.png
CVUSA_subset\streetview\0013296.jpg,BLURRED_name_train\0013296_generated.png,TRAIN_SEGMENTED\0013296_generated_segmented.png,CVUSA_subset\bingmap\input0013296.png
CVUSA_subset\streetview\0013298.jpg,BLURRED_name_train\0013298_generated.png,TRAIN_SEGMENTED\0013298_generated_segmented.png,CVUSA_subset\bingmap\input0013298.png
CVUSA_subset\streetview\0013305.jpg,BLURRED_name_train\0013305_generated.png,TRAIN_SEGMENTED\0013305_generated_segmented.png,CVUSA_subset\bingmap\input0013305.png
CVUSA_subset\streetview\0013307.jpg,BLURRED_name_train\0013307_generated.png,TRAIN_SEGMENTED\0013307_generated_segmented.png,CVUSA_subset\bingmap\input0013307.png
CVUSA_subset\streetview\0013318.jpg,BLURRED_name_train\0013318_generated.png,TRAIN_SEGMENTED\0013318_generated_segmented.png,CVUSA_subset\bingmap\input0013318.png
CVUSA_subset\streetview\0013321.jpg,BLURRED_name_train\0013321_generated.png,TRAIN_SEGMENTED\0013321_generated_segmented.png,CVUSA_subset\bingmap\input0013321.png
CVUSA_subset\streetview\0013323.jpg,BLURRED_name_train\0013323_generated.png,TRAIN_SEGMENTED\0013323_generated_segmented.png,CVUSA_subset\bingmap\input0013323.png
CVUSA_subset\streetview\0013326.jpg,BLURRED_name_train\0013326_generated.png,TRAIN_SEGMENTED\0013326_generated_segmented.png,CVUSA_subset\bingmap\input0013326.png
CVUSA_subset\streetview\0013335.jpg,BLURRED_name_train\0013335_generated.png,TRAIN_SEGMENTED\0013335_generated_segmented.png,CVUSA_subset\bingmap\input0013335.png
CVUSA_subset\streetview\0013345.jpg,BLURRED_name_train\0013345_generated.png,TRAIN_SEGMENTED\0013345_generated_segmented.png,CVUSA_subset\bingmap\input0013345.png
CVUSA_subset\streetview\0013353.jpg,BLURRED_name_train\0013353_generated.png,TRAIN_SEGMENTED\0013353_generated_segmented.png,CVUSA_subset\bingmap\input0013353.png
CVUSA_subset\streetview\0013357.jpg,BLURRED_name_train\0013357_generated.png,TRAIN_SEGMENTED\0013357_generated_segmented.png,CVUSA_subset\bingmap\input0013357.png
CVUSA_subset\streetview\0013370.jpg,BLURRED_name_train\0013370_generated.png,TRAIN_SEGMENTED\0013370_generated_segmented.png,CVUSA_subset\bingmap\input0013370.png
CVUSA_subset\streetview\0013371.jpg,BLURRED_name_train\0013371_generated.png,TRAIN_SEGMENTED\0013371_generated_segmented.png,CVUSA_subset\bingmap\input0013371.png
CVUSA_subset\streetview\0013389.jpg,BLURRED_name_train\0013389_generated.png,TRAIN_SEGMENTED\0013389_generated_segmented.png,CVUSA_subset\bingmap\input0013389.png
CVUSA_subset\streetview\0013393.jpg,BLURRED_name_train\0013393_generated.png,TRAIN_SEGMENTED\0013393_generated_segmented.png,CVUSA_subset\bingmap\input0013393.png
CVUSA_subset\streetview\0013396.jpg,BLURRED_name_train\0013396_generated.png,TRAIN_SEGMENTED\0013396_generated_segmented.png,CVUSA_subset\bingmap\input0013396.png
CVUSA_subset\streetview\0013401.jpg,BLURRED_name_train\0013401_generated.png,TRAIN_SEGMENTED\0013401_generated_segmented.png,CVUSA_subset\bingmap\input0013401.png
CVUSA_subset\streetview\0013403.jpg,BLURRED_name_train\0013403_generated.png,TRAIN_SEGMENTED\0013403_generated_segmented.png,CVUSA_subset\bingmap\input0013403.png
CVUSA_subset\streetview\0013407.jpg,BLURRED_name_train\0013407_generated.png,TRAIN_SEGMENTED\0013407_generated_segmented.png,CVUSA_subset\bingmap\input0013407.png
CVUSA_subset\streetview\0013414.jpg,BLURRED_name_train\0013414_generated.png,TRAIN_SEGMENTED\0013414_generated_segmented.png,CVUSA_subset\bingmap\input0013414.png
CVUSA_subset\streetview\0013430.jpg,BLURRED_name_train\0013430_generated.png,TRAIN_SEGMENTED\0013430_generated_segmented.png,CVUSA_subset\bingmap\input0013430.png
CVUSA_subset\streetview\0013433.jpg,BLURRED_name_train\0013433_generated.png,TRAIN_SEGMENTED\0013433_generated_segmented.png,CVUSA_subset\bingmap\input0013433.png
CVUSA_subset\streetview\0013438.jpg,BLURRED_name_train\0013438_generated.png,TRAIN_SEGMENTED\0013438_generated_segmented.png,CVUSA_subset\bingmap\input0013438.png
CVUSA_subset\streetview\0013453.jpg,BLURRED_name_train\0013453_generated.png,TRAIN_SEGMENTED\0013453_generated_segmented.png,CVUSA_subset\bingmap\input0013453.png
CVUSA_subset\streetview\0013483.jpg,BLURRED_name_train\0013483_generated.png,TRAIN_SEGMENTED\0013483_generated_segmented.png,CVUSA_subset\bingmap\input0013483.png
CVUSA_subset\streetview\0013500.jpg,BLURRED_name_train\0013500_generated.png,TRAIN_SEGMENTED\0013500_generated_segmented.png,CVUSA_subset\bingmap\input0013500.png
CVUSA_subset\streetview\0013502.jpg,BLURRED_name_train\0013502_generated.png,TRAIN_SEGMENTED\0013502_generated_segmented.png,CVUSA_subset\bingmap\input0013502.png
CVUSA_subset\streetview\0013503.jpg,BLURRED_name_train\0013503_generated.png,TRAIN_SEGMENTED\0013503_generated_segmented.png,CVUSA_subset\bingmap\input0013503.png
CVUSA_subset\streetview\0013514.jpg,BLURRED_name_train\0013514_generated.png,TRAIN_SEGMENTED\0013514_generated_segmented.png,CVUSA_subset\bingmap\input0013514.png
CVUSA_subset\streetview\0013523.jpg,BLURRED_name_train\0013523_generated.png,TRAIN_SEGMENTED\0013523_generated_segmented.png,CVUSA_subset\bingmap\input0013523.png
CVUSA_subset\streetview\0013524.jpg,BLURRED_name_train\0013524_generated.png,TRAIN_SEGMENTED\0013524_generated_segmented.png,CVUSA_subset\bingmap\input0013524.png
CVUSA_subset\streetview\0013529.jpg,BLURRED_name_train\0013529_generated.png,TRAIN_SEGMENTED\0013529_generated_segmented.png,CVUSA_subset\bingmap\input0013529.png
CVUSA_subset\streetview\0013536.jpg,BLURRED_name_train\0013536_generated.png,TRAIN_SEGMENTED\0013536_generated_segmented.png,CVUSA_subset\bingmap\input0013536.png
CVUSA_subset\streetview\0013538.jpg,BLURRED_name_train\0013538_generated.png,TRAIN_SEGMENTED\0013538_generated_segmented.png,CVUSA_subset\bingmap\input0013538.png
CVUSA_subset\streetview\0013539.jpg,BLURRED_name_train\0013539_generated.png,TRAIN_SEGMENTED\0013539_generated_segmented.png,CVUSA_subset\bingmap\input0013539.png
CVUSA_subset\streetview\0013557.jpg,BLURRED_name_train\0013557_generated.png,TRAIN_SEGMENTED\0013557_generated_segmented.png,CVUSA_subset\bingmap\input0013557.png
CVUSA_subset\streetview\0013561.jpg,BLURRED_name_train\0013561_generated.png,TRAIN_SEGMENTED\0013561_generated_segmented.png,CVUSA_subset\bingmap\input0013561.png
CVUSA_subset\streetview\0013592.jpg,BLURRED_name_train\0013592_generated.png,TRAIN_SEGMENTED\0013592_generated_segmented.png,CVUSA_subset\bingmap\input0013592.png
CVUSA_subset\streetview\0013594.jpg,BLURRED_name_train\0013594_generated.png,TRAIN_SEGMENTED\0013594_generated_segmented.png,CVUSA_subset\bingmap\input0013594.png
CVUSA_subset\streetview\0013601.jpg,BLURRED_name_train\0013601_generated.png,TRAIN_SEGMENTED\0013601_generated_segmented.png,CVUSA_subset\bingmap\input0013601.png
CVUSA_subset\streetview\0013616.jpg,BLURRED_name_train\0013616_generated.png,TRAIN_SEGMENTED\0013616_generated_segmented.png,CVUSA_subset\bingmap\input0013616.png
CVUSA_subset\streetview\0013620.jpg,BLURRED_name_train\0013620_generated.png,TRAIN_SEGMENTED\0013620_generated_segmented.png,CVUSA_subset\bingmap\input0013620.png
CVUSA_subset\streetview\0013626.jpg,BLURRED_name_train\0013626_generated.png,TRAIN_SEGMENTED\0013626_generated_segmented.png,CVUSA_subset\bingmap\input0013626.png
CVUSA_subset\streetview\0013627.jpg,BLURRED_name_train\0013627_generated.png,TRAIN_SEGMENTED\0013627_generated_segmented.png,CVUSA_subset\bingmap\input0013627.png
CVUSA_subset\streetview\0013635.jpg,BLURRED_name_train\0013635_generated.png,TRAIN_SEGMENTED\0013635_generated_segmented.png,CVUSA_subset\bingmap\input0013635.png
CVUSA_subset\streetview\0013639.jpg,BLURRED_name_train\0013639_generated.png,TRAIN_SEGMENTED\0013639_generated_segmented.png,CVUSA_subset\bingmap\input0013639.png
CVUSA_subset\streetview\0013645.jpg,BLURRED_name_train\0013645_generated.png,TRAIN_SEGMENTED\0013645_generated_segmented.png,CVUSA_subset\bingmap\input0013645.png
CVUSA_subset\streetview\0013647.jpg,BLURRED_name_train\0013647_generated.png,TRAIN_SEGMENTED\0013647_generated_segmented.png,CVUSA_subset\bingmap\input0013647.png
CVUSA_subset\streetview\0013656.jpg,BLURRED_name_train\0013656_generated.png,TRAIN_SEGMENTED\0013656_generated_segmented.png,CVUSA_subset\bingmap\input0013656.png
CVUSA_subset\streetview\0013658.jpg,BLURRED_name_train\0013658_generated.png,TRAIN_SEGMENTED\0013658_generated_segmented.png,CVUSA_subset\bingmap\input0013658.png
CVUSA_subset\streetview\0013664.jpg,BLURRED_name_train\0013664_generated.png,TRAIN_SEGMENTED\0013664_generated_segmented.png,CVUSA_subset\bingmap\input0013664.png
CVUSA_subset\streetview\0013667.jpg,BLURRED_name_train\0013667_generated.png,TRAIN_SEGMENTED\0013667_generated_segmented.png,CVUSA_subset\bingmap\input0013667.png
CVUSA_subset\streetview\0013668.jpg,BLURRED_name_train\0013668_generated.png,TRAIN_SEGMENTED\0013668_generated_segmented.png,CVUSA_subset\bingmap\input0013668.png
CVUSA_subset\streetview\0013669.jpg,BLURRED_name_train\0013669_generated.png,TRAIN_SEGMENTED\0013669_generated_segmented.png,CVUSA_subset\bingmap\input0013669.png
CVUSA_subset\streetview\0013670.jpg,BLURRED_name_train\0013670_generated.png,TRAIN_SEGMENTED\0013670_generated_segmented.png,CVUSA_subset\bingmap\input0013670.png
CVUSA_subset\streetview\0013672.jpg,BLURRED_name_train\0013672_generated.png,TRAIN_SEGMENTED\0013672_generated_segmented.png,CVUSA_subset\bingmap\input0013672.png
CVUSA_subset\streetview\0013680.jpg,BLURRED_name_train\0013680_generated.png,TRAIN_SEGMENTED\0013680_generated_segmented.png,CVUSA_subset\bingmap\input0013680.png
CVUSA_subset\streetview\0013681.jpg,BLURRED_name_train\0013681_generated.png,TRAIN_SEGMENTED\0013681_generated_segmented.png,CVUSA_subset\bingmap\input0013681.png
CVUSA_subset\streetview\0013693.jpg,BLURRED_name_train\0013693_generated.png,TRAIN_SEGMENTED\0013693_generated_segmented.png,CVUSA_subset\bingmap\input0013693.png
CVUSA_subset\streetview\0013698.jpg,BLURRED_name_train\0013698_generated.png,TRAIN_SEGMENTED\0013698_generated_segmented.png,CVUSA_subset\bingmap\input0013698.png
CVUSA_subset\streetview\0013699.jpg,BLURRED_name_train\0013699_generated.png,TRAIN_SEGMENTED\0013699_generated_segmented.png,CVUSA_subset\bingmap\input0013699.png
CVUSA_subset\streetview\0013713.jpg,BLURRED_name_train\0013713_generated.png,TRAIN_SEGMENTED\0013713_generated_segmented.png,CVUSA_subset\bingmap\input0013713.png
CVUSA_subset\streetview\0013739.jpg,BLURRED_name_train\0013739_generated.png,TRAIN_SEGMENTED\0013739_generated_segmented.png,CVUSA_subset\bingmap\input0013739.png
CVUSA_subset\streetview\0013745.jpg,BLURRED_name_train\0013745_generated.png,TRAIN_SEGMENTED\0013745_generated_segmented.png,CVUSA_subset\bingmap\input0013745.png
CVUSA_subset\streetview\0013755.jpg,BLURRED_name_train\0013755_generated.png,TRAIN_SEGMENTED\0013755_generated_segmented.png,CVUSA_subset\bingmap\input0013755.png
CVUSA_subset\streetview\0013782.jpg,BLURRED_name_train\0013782_generated.png,TRAIN_SEGMENTED\0013782_generated_segmented.png,CVUSA_subset\bingmap\input0013782.png
CVUSA_subset\streetview\0013783.jpg,BLURRED_name_train\0013783_generated.png,TRAIN_SEGMENTED\0013783_generated_segmented.png,CVUSA_subset\bingmap\input0013783.png
CVUSA_subset\streetview\0013794.jpg,BLURRED_name_train\0013794_generated.png,TRAIN_SEGMENTED\0013794_generated_segmented.png,CVUSA_subset\bingmap\input0013794.png
CVUSA_subset\streetview\0013820.jpg,BLURRED_name_train\0013820_generated.png,TRAIN_SEGMENTED\0013820_generated_segmented.png,CVUSA_subset\bingmap\input0013820.png
CVUSA_subset\streetview\0013826.jpg,BLURRED_name_train\0013826_generated.png,TRAIN_SEGMENTED\0013826_generated_segmented.png,CVUSA_subset\bingmap\input0013826.png
CVUSA_subset\streetview\0013831.jpg,BLURRED_name_train\0013831_generated.png,TRAIN_SEGMENTED\0013831_generated_segmented.png,CVUSA_subset\bingmap\input0013831.png
CVUSA_subset\streetview\0013839.jpg,BLURRED_name_train\0013839_generated.png,TRAIN_SEGMENTED\0013839_generated_segmented.png,CVUSA_subset\bingmap\input0013839.png
CVUSA_subset\streetview\0013843.jpg,BLURRED_name_train\0013843_generated.png,TRAIN_SEGMENTED\0013843_generated_segmented.png,CVUSA_subset\bingmap\input0013843.png
CVUSA_subset\streetview\0013845.jpg,BLURRED_name_train\0013845_generated.png,TRAIN_SEGMENTED\0013845_generated_segmented.png,CVUSA_subset\bingmap\input0013845.png
CVUSA_subset\streetview\0013848.jpg,BLURRED_name_train\0013848_generated.png,TRAIN_SEGMENTED\0013848_generated_segmented.png,CVUSA_subset\bingmap\input0013848.png
CVUSA_subset\streetview\0013849.jpg,BLURRED_name_train\0013849_generated.png,TRAIN_SEGMENTED\0013849_generated_segmented.png,CVUSA_subset\bingmap\input0013849.png
CVUSA_subset\streetview\0013852.jpg,BLURRED_name_train\0013852_generated.png,TRAIN_SEGMENTED\0013852_generated_segmented.png,CVUSA_subset\bingmap\input0013852.png
CVUSA_subset\streetview\0013859.jpg,BLURRED_name_train\0013859_generated.png,TRAIN_SEGMENTED\0013859_generated_segmented.png,CVUSA_subset\bingmap\input0013859.png
CVUSA_subset\streetview\0013869.jpg,BLURRED_name_train\0013869_generated.png,TRAIN_SEGMENTED\0013869_generated_segmented.png,CVUSA_subset\bingmap\input0013869.png
CVUSA_subset\streetview\0013870.jpg,BLURRED_name_train\0013870_generated.png,TRAIN_SEGMENTED\0013870_generated_segmented.png,CVUSA_subset\bingmap\input0013870.png
CVUSA_subset\streetview\0013875.jpg,BLURRED_name_train\0013875_generated.png,TRAIN_SEGMENTED\0013875_generated_segmented.png,CVUSA_subset\bingmap\input0013875.png
CVUSA_subset\streetview\0013877.jpg,BLURRED_name_train\0013877_generated.png,TRAIN_SEGMENTED\0013877_generated_segmented.png,CVUSA_subset\bingmap\input0013877.png
CVUSA_subset\streetview\0013878.jpg,BLURRED_name_train\0013878_generated.png,TRAIN_SEGMENTED\0013878_generated_segmented.png,CVUSA_subset\bingmap\input0013878.png
CVUSA_subset\streetview\0013884.jpg,BLURRED_name_train\0013884_generated.png,TRAIN_SEGMENTED\0013884_generated_segmented.png,CVUSA_subset\bingmap\input0013884.png
CVUSA_subset\streetview\0013888.jpg,BLURRED_name_train\0013888_generated.png,TRAIN_SEGMENTED\0013888_generated_segmented.png,CVUSA_subset\bingmap\input0013888.png
CVUSA_subset\streetview\0013890.jpg,BLURRED_name_train\0013890_generated.png,TRAIN_SEGMENTED\0013890_generated_segmented.png,CVUSA_subset\bingmap\input0013890.png
CVUSA_subset\streetview\0013892.jpg,BLURRED_name_train\0013892_generated.png,TRAIN_SEGMENTED\0013892_generated_segmented.png,CVUSA_subset\bingmap\input0013892.png
CVUSA_subset\streetview\0013909.jpg,BLURRED_name_train\0013909_generated.png,TRAIN_SEGMENTED\0013909_generated_segmented.png,CVUSA_subset\bingmap\input0013909.png
CVUSA_subset\streetview\0013914.jpg,BLURRED_name_train\0013914_generated.png,TRAIN_SEGMENTED\0013914_generated_segmented.png,CVUSA_subset\bingmap\input0013914.png
CVUSA_subset\streetview\0013920.jpg,BLURRED_name_train\0013920_generated.png,TRAIN_SEGMENTED\0013920_generated_segmented.png,CVUSA_subset\bingmap\input0013920.png
CVUSA_subset\streetview\0013938.jpg,BLURRED_name_train\0013938_generated.png,TRAIN_SEGMENTED\0013938_generated_segmented.png,CVUSA_subset\bingmap\input0013938.png
CVUSA_subset\streetview\0013953.jpg,BLURRED_name_train\0013953_generated.png,TRAIN_SEGMENTED\0013953_generated_segmented.png,CVUSA_subset\bingmap\input0013953.png
CVUSA_subset\streetview\0013970.jpg,BLURRED_name_train\0013970_generated.png,TRAIN_SEGMENTED\0013970_generated_segmented.png,CVUSA_subset\bingmap\input0013970.png
CVUSA_subset\streetview\0013983.jpg,BLURRED_name_train\0013983_generated.png,TRAIN_SEGMENTED\0013983_generated_segmented.png,CVUSA_subset\bingmap\input0013983.png
CVUSA_subset\streetview\0013988.jpg,BLURRED_name_train\0013988_generated.png,TRAIN_SEGMENTED\0013988_generated_segmented.png,CVUSA_subset\bingmap\input0013988.png
CVUSA_subset\streetview\0014003.jpg,BLURRED_name_train\0014003_generated.png,TRAIN_SEGMENTED\0014003_generated_segmented.png,CVUSA_subset\bingmap\input0014003.png
CVUSA_subset\streetview\0014006.jpg,BLURRED_name_train\0014006_generated.png,TRAIN_SEGMENTED\0014006_generated_segmented.png,CVUSA_subset\bingmap\input0014006.png
CVUSA_subset\streetview\0014015.jpg,BLURRED_name_train\0014015_generated.png,TRAIN_SEGMENTED\0014015_generated_segmented.png,CVUSA_subset\bingmap\input0014015.png
CVUSA_subset\streetview\0014018.jpg,BLURRED_name_train\0014018_generated.png,TRAIN_SEGMENTED\0014018_generated_segmented.png,CVUSA_subset\bingmap\input0014018.png
CVUSA_subset\streetview\0014022.jpg,BLURRED_name_train\0014022_generated.png,TRAIN_SEGMENTED\0014022_generated_segmented.png,CVUSA_subset\bingmap\input0014022.png
CVUSA_subset\streetview\0014024.jpg,BLURRED_name_train\0014024_generated.png,TRAIN_SEGMENTED\0014024_generated_segmented.png,CVUSA_subset\bingmap\input0014024.png
CVUSA_subset\streetview\0014025.jpg,BLURRED_name_train\0014025_generated.png,TRAIN_SEGMENTED\0014025_generated_segmented.png,CVUSA_subset\bingmap\input0014025.png
CVUSA_subset\streetview\0014039.jpg,BLURRED_name_train\0014039_generated.png,TRAIN_SEGMENTED\0014039_generated_segmented.png,CVUSA_subset\bingmap\input0014039.png
CVUSA_subset\streetview\0014040.jpg,BLURRED_name_train\0014040_generated.png,TRAIN_SEGMENTED\0014040_generated_segmented.png,CVUSA_subset\bingmap\input0014040.png
CVUSA_subset\streetview\0014041.jpg,BLURRED_name_train\0014041_generated.png,TRAIN_SEGMENTED\0014041_generated_segmented.png,CVUSA_subset\bingmap\input0014041.png
CVUSA_subset\streetview\0014046.jpg,BLURRED_name_train\0014046_generated.png,TRAIN_SEGMENTED\0014046_generated_segmented.png,CVUSA_subset\bingmap\input0014046.png
